latitude longitude month day year
37.8430203 -78.278159 3 26 2020
-26.919557 -49.065803 3 26 2020
39.9658309 -81.944622 3 26 2020
41.6964081 -81.237835 3 26 2020
-17.8783829 -51.7204241 3 26 2020
-3.4763823 -80.2225448 3 26 2020
-3.2581112 -79.9553924 3 26 2020
39.427635 -84.167054 3 26 2020
-26.3044898 -48.8486726 3 26 2020
32.36469 -91.2433 3 26 2020
36.7251683 -81.959346 3 26 2020
32.6801 -93.6061 3 26 2020
35.8775 7.113611 3 26 2020
-27.6162335 -48.6270136 3 26 2020
32.5356718 -86.642903 3 26 2020
40.8292616 -81.888279 3 26 2020
10.5 10 3 26 2020
42.5960354 -84.839111 3 26 2020
38.7389986 -77.808984 3 26 2020
-1.265283 -47.907535 3 26 2020
38.910135 -78.206759 3 26 2020
41.0021008 -83.666404 3 26 2020
30.85355 -90.041 3 26 2020
43.6403556 -86.266672 3 26 2020
39.7517182 -82.630465 3 26 2020
41.9556544 -86.412654 3 26 2020
-27.59487 -48.54822 3 26 2020
-1.341704 -48.389115 3 26 2020
30.3312743 -82.284951 3 26 2020
41.1680337 -81.197377 3 26 2020
13.83 121 3 26 2020
40.8427063 -83.304 3 26 2020
-1.7010952 -77.9681544 3 26 2020
37.5396677 -77.406948 3 26 2020
-5.0896403 -42.809588 3 26 2020
29.47137 -89.6367 3 26 2020
42.3542906 -89.66281 3 26 2020
-26.9924395 -48.6339782 3 26 2020
38.279591 -90.177029 3 26 2020
43.6402985 -85.325666 3 26 2020
-3.8290942 -78.7617893 3 26 2020
29.90149 -91.0619 3 26 2020
44.1662096 -70.206632 3 26 2020
-16.444354 -39.065366 3 26 2020
-0.3630934 -75.6208088 3 26 2020
40.0043827 -102.42209 3 26 2020
-33.3 -66.35 3 26 2020
-48.62 -70.01 3 26 2020
44.5032474 -69.149317 3 26 2020
-8.9006086 -63.94303682 3 26 2020
-19.998738 -45.632126 3 26 2020
42.954421 -84.147857 3 26 2020
43.7077021 -83.993331 3 26 2020
14.56917 121.1325 3 26 2020
40.7687613 -80.776924 3 26 2020
-29.608036 -50.550758 3 26 2020
38.6069974 -89.423423 3 26 2020
32.8216 -91.8018 3 26 2020
-17.792753 -50.919631 3 26 2020
-27.09 -48.610833 3 26 2020
45.0209355 -84.601094 3 26 2020
42.9443157 -84.603167 3 26 2020
-26.9 -48.666667 3 26 2020
30.63548 -90.4084 3 26 2020
-1.801926 -79.5346459 3 26 2020
-16.252778 -47.95 3 26 2020
-6.0326964 -55.96898 3 26 2020
-20.3696657 -40.30677503 3 26 2020
-1.3664276 -79.8996789 3 26 2020
-5.195062 -37.411681 3 26 2020
-22.766728 -43.40336 3 26 2020
-27.095833 -52.617778 3 26 2020
40.1376124 -83.769631 3 26 2020
-20.125296 -40.306448 3 26 2020
30.46295 -91.3134 3 26 2020
44.9763767 -70.445179 3 26 2020
-26.099499 -49.789413 3 26 2020
-1.5520821 -79.4028639 3 26 2020
30.196309 -82.991618 3 26 2020
-1.4624412 -78.1123092 3 26 2020
35.55 6.166667 3 26 2020
34.4420564 -87.843606 3 26 2020
40.0534097 -84.228791 3 26 2020
-4.321627 -79.553017 3 26 2020
-26.2295984 -52.6712474 3 26 2020
32.1551387 -86.64991 3 26 2020
43.3353462 -84.054357 3 26 2020
45.4061536 -68.648694 3 26 2020
-20.603448 -41.203351 3 26 2020
-31.441331 -53.120386 3 26 2020
-19.890037 -43.810792 3 26 2020
29.84691 -92.3241 3 26 2020
-16.667778 -48.586944 3 26 2020
37.9933044 -88.924696 3 26 2020
-28.233333 -48.666667 3 26 2020
-9.63304426 -68.31882477 3 26 2020
-2.5020275 -78.9175088 3 26 2020
44.4096835 -69.76738 3 26 2020
43.3111838 -85.15407 3 26 2020
39.0478045 -84.152659 3 26 2020
32.0203836 -88.262847 3 26 2020
41.1465495 -82.597729 3 26 2020
-33.437778 -70.650278 3 25 2020
42.35295 -71.908172 3 25 2020
35.5092531 -105.97385 3 25 2020
42.3317009 -71.073435 3 25 2020
41.7273199 -70.29715 3 25 2020
43.4512629 -116.24045 3 25 2020
-3.7304512 -38.5217989 3 25 2020
43.2987872 -71.031431 3 25 2020
38.6613131 -75.398021 3 25 2020
39.7545954 -84.290629 3 25 2020
41.0334487 -89.34553 3 25 2020
44.3737885 -93.730043 3 25 2020
35.99386 -83.936742 3 25 2020
42.6725923 -70.956154 3 25 2020
42.1611781 -71.210074 3 25 2020
35.1849357 -89.896072 3 25 2020
43.0686859 -89.417531 3 25 2020
42.1353018 -72.631552 3 25 2020
41.9520959 -70.812454 3 25 2020
42.486092 -71.392397 3 25 2020
43.0007846 -90.135871 3 25 2020
43.0825685 -93.734644 3 25 2020
43.9071951 -91.115072 3 25 2020
41.6592884 -105.72317 3 25 2020
39.5778445 -75.637708 3 25 2020
43.0098942 -87.967692 3 25 2020
43.2976177 -71.680372 3 25 2020
35.5509312 -97.409052 3 25 2020
-11.68784 -41.77842 3 25 2020
42.371827 -73.207218 3 25 2020
43.0206133 -88.304613 3 25 2020
43.4131808 -113.98042 3 25 2020
-2.4204637 -79.3437394 3 25 2020
42.4330519 -122.72795 3 25 2020
45.0065223 -93.47836 3 25 2020
29.6105848 -81.743951 3 25 2020
40.0994439 -80.618527 3 25 2020
40.8695166 -110.95333 3 25 2020
38.8836238 -94.822346 3 25 2020
39.1996149 -95.037594 3 25 2020
36.1556342 -86.296403 3 25 2020
45.54534 -111.16969 3 25 2020
35.9270438 -85.454961 3 25 2020
42.9156163 -71.716565 3 25 2020
43.6752472 -96.792059 3 25 2020
41.6718099 -91.588622 3 25 2020
39.7155535 -90.201351 3 25 2020
36.1218632 -95.942712 3 25 2020
43.9418567 -71.82009 3 25 2020
43.4267331 -89.949544 3 25 2020
42.6036015 -83.913059 3 25 2020
44.0306139 -73.141709 3 25 2020
40.1212016 -111.66931 3 25 2020
43.6265033 -116.70671 3 25 2020
36.3172837 -96.702338 3 25 2020
35.9197096 -97.444783 3 25 2020
32.8374147 -79.95495 3 25 2020
36.510788 -108.31758 3 25 2020
44.0066784 -92.403036 3 25 2020
42.5830611 -72.590956 3 25 2020
-0.1270432 -78.4853822 3 25 2020
41.3356132 -91.718571 3 25 2020
44.4119384 -92.72293 3 25 2020
40.9894688 -112.11076 3 25 2020
43.2812375 -123.16734 3 25 2020
35.8435961 -86.416028 3 25 2020
47.6750398 -116.69982 3 25 2020
43.045032 -108.63227 3 25 2020
43.3854192 -87.950555 3 25 2020
44.9037299 -122.58431 3 25 2020
36.4411139 -82.944644 3 25 2020
34.8957035 -82.369488 3 25 2020
41.1241213 -83.127713 3 25 2020
44.4611235 -73.081581 3 25 2020
40.6672828 -111.92145 3 25 2020
43.8210343 -112.30919 3 25 2020
35.894329 -86.899475 3 25 2020
40.3989445 -82.421567 3 25 2020
0.0813445 -79.0489685 3 25 2020
-3.4593888 -79.9668308 3 25 2020
35.9024765 -96.371831 3 25 2020
41.3083374 -104.68753 3 25 2020
42.3658005 -123.55416 3 25 2020
43.4243162 -82.82063 3 25 2020
44.2737819 -72.615084 3 25 2020
-15.7754462 -47.7970891 3 25 2020
-1.2543408 -78.6228504 3 25 2020
41.8015808 -71.114754 3 25 2020
44.6061831 -72.641753 3 25 2020
42.7495571 -88.059421 3 25 2020
32.2893566 -85.18675 3 25 2020
43.0358884 -73.093767 3 25 2020
34.5201765 -82.636735 3 25 2020
